No,County/ Sub-County,Rented/Provided ,Government Number, Gov No per cent,County Government Number, CG per cent,Parastatal  Number, Parastatal per cent,Private company Number, Private Company per cent,Individual Number, Ind. No. per cent,FBO/NGO/ Church/Temple/Mosque Number, FBO/NGOper cent
243,MARAKWET EAST,2468,78,3.2,44,1.8,6,0.2,25,1,2292,92.9,23,0.9
244,MARAKWET WEST,6504,126,1.9,30,0.5,20,0.3,119,1.8,6115,94,94,1.4
245,NANDI ,42536,984,2.3,539,1.3,254,0.6,8206,19.3,32103,75.5,450,1.1
246,CHESUMEI ,10363,105,1,187,1.8,50,0.5,178,1.7,9677,93.4,166,1.6
247,NANDI CENTRAL,8,427,5.1,154,1.8,112,1.3,617,7.4,6961,83.4,75,0.9
248,NANDI EAST,1242,151,1.2,132,1.1,31,0.2,5586,45,6473,52.1,54,0.4
249,NANDI NORTH,318,73,2.3,18,0.6,9,0.3,52,1.6,2986,93.8,47,1.5
250,NANDI SOUTH,410,82,2,39,1,41,1,132,3.2,3776,92,35,0.9
251,TINDERET ,4110,146,3.6,9,0.2,11,0.3,1641,39.9,2230,54.3,73,1.8
252,BARINGO ,28282,1574,5.6,334,1.2,367,1.3,836,3,24892,88,279,1
253,BARINGO CENTRAL,6,393,6.2,81,1.3,75,1.2,104,1.6,5659,89.1,40,0.6
254,BARINGO NORTH,215,110,5.1,14,0.7,5,0.2,36,1.7,1970,91.6,16,0.7
255,EAST POKOT,642,80,12.5,4,0.6,2,0.3,22,3.4,507,79,27,4.2
256,KOIBATEK ,10622,556,5.2,131,1.2,168,1.6,217,2,9464,89.1,86,0.8
257,MARIGAT ,4590,219,4.8,76,1.7,63,1.4,176,3.8,3990,86.9,66,1.4
258,MOGOTIO ,3333,141,4.2,23,0.7,54,1.6,235,7.1,2861,85.8,19,0.6
259,TIATY EAST,592,75,12.7,5,0.8,- ,-,46,7.8,441,74.5,25,4.2
260,LAIKIPIA ,56835,1872,3.3,945,1.7,289,0.5,4464,7.9,48763,85.8,502,0.9
261,LAIKIPIA CENTRAL,11,185,1.7,115,1,53,0.5,668,6,10091,90.4,53,0.5
262,LAIKIPIA EAST,1729,798,4.6,312,1.8,30,0.2,1641,9.5,14351,83,163,0.9
263,LAIKIPIA NORTH,109,81,7.4,8,0.7,7,0.6,522,47.8,457,41.8,18,1.6
